Grapheme	FREQUENCY	SCA	CODEPOINTS	EXAMPLES	IPA
dT~	4	T C	U+0064 U+0054 U+007E	EdT~i;dT~iya;dT~iya;dT~iya	d c
tT~	2	T C	U+0074 U+0054 U+007E	tT~oN;qh~utT~o	t c
d8~	2	T D	U+0064 U+0038 U+007E	d8~eL;th~ed8~	d θ
t8~	26	T D	U+0074 U+0038 U+007E	t8~a;t8~o*;jot8~;jiat8~;yat8~	t θ
"t8""~"	1	T D	U+0074 U+0038 U+0022 U+007E	"t8""~an"	t θ’
tX~	45	T G	U+0074 U+0058 U+007E	tX~o;matX~;XutX~a;sX~notX~a;snotX~a	t χ
ty*	1	T I	U+0074 U+0079 U+002A	Sity*	t ĩ
tk~	4	T K	U+0074 U+006B U+007E	tk~u;tk~uo;tk~un;tk~e	t k
dh~g~	1	T K	U+0064 U+0068 U+007E U+0067 U+007E	dh~g~emon	dʰ g
dL~	32	T L	U+0064 U+004C U+007E	dL~ondL~obele;dL~ondL~obele;dL~ebe;dL~ebe;dL~ebe	d ʎ
dl~	8	T L	U+0064 U+006C U+007E	dl~ap;dl~u;adl~a*;Gandl~;fy~adl~	d l
tL~	76	T L	U+0074 U+004C U+007E	tL~anz~i;tL~anz~i;tL~anz~i;tL~anz~i;tL~anz~i	t ʎ
tl~	41	T L	U+0074 U+006C U+007E	tl~e;tl~e;tl~i*;Nk~atl~u;qatl~u	t l
"tL""~"	37	T L	U+0074 U+004C U+0022 U+007E	"tL""~anz~i;tL""~amaX;tL""~amaX;tL""~ol;tL""~a*de"	t ʎ’
"tl""~"	1	T L	U+0074 U+006C U+0022 U+007E	"gurtl""~a"	t l’
tn~	19	T N	U+0074 U+006E U+007E	kitn~;eitn~;ikatn~;ntn$atn~a;dautn~	t n
Cr~	3	T R	U+0043 U+0072 U+007E	Cr~a3n;Cr~3muh;Cr~es	tʃ r
dr~	40	T R	U+0064 U+0072 U+007E	dr~otol;xidr~;dr~iSa;laukandr~anu;laukandr~anu	d r
tr~	102	T R	U+0074 U+0072 U+007E	fentr~en;tr~i;tr~i;k3tr~;wentr~u	t r
CZ~	1	T S	U+0043 U+005A U+007E	yoCZ~	tʃ ʒ
dt~	1	T T	U+0064 U+0074 U+007E	validt~	d t
ov~	1	U B	U+006F U+0076 U+007E	kov~k	o v
oh~	2	U H	U+006F U+0068 U+007E	oh~k;kumpoh~	o h
oy~	3	U J	U+006F U+0079 U+007E	moy~5;th~3lloy~t;oy~	o j
oS~	1	U S	U+006F U+0053 U+007E	oS~i	o ʃ
ow*	1	U W	U+006F U+0077 U+002A	mow*	õ w
ow~	4	U W	U+006F U+0077 U+007E	ow~ nome;ow~e;zaw~now~;now~a	o w
w*a	1	W E	U+0077 U+002A U+0061	w*awana	w ɐ̃
w*e	1	W E	U+0077 U+002A U+0065	w*e	w ẽ
w*a*	1	W E	U+0077 U+002A U+0061 U+002A	w*a*ma*	w ɐ̃
wh~	18	W H	U+0077 U+0068 U+007E	kEwh~Eneri;Siwh~;akp~oewh~u;dahuwh~;dahowh~	w h
w*i	2	W I	U+0077 U+002A U+0069	w*i;w*i	w ĩ
wy~	9	W I	U+0077 U+0079 U+007E	s3wy~e;wy~eNE;rwy~adu;wy~i;wy~n	w i
wm~	1	W M	U+0077 U+006D U+007E	wakl~3wm~a	w m
wn~	3	W N	U+0077 U+006E U+007E	tiwn~E;nuwn~o;nuwn~o	w n
w*o	1	W U	U+0077 U+002A U+006F	w*oynE	w õ
wh~o	1	W U	U+0077 U+0068 U+007E U+006F	"k""owh~o"	w o
w*u	4	W Y	U+0077 U+002A U+0075	w*u;w*u;w*u;w*uN	w ũ
ux~	1	Y G	U+0075 U+0078 U+007E	demux~uwa	u x
wX~	3	Y G	U+0077 U+0058 U+007E	wX~a;iwX~at3;qwX~en	u χ
uh~	2	Y H	U+0075 U+0068 U+007E	ta7auh~;th~a7auh~	u h
wk~	2	Y K	U+0077 U+006B U+007E	wk~uxi;wk~3dokw~	u k
wl~	1	Y L	U+0077 U+006C U+007E	wl~i	u l
un~	1	Y N	U+0075 U+006E U+007E	mun~	u n
wr~	5	Y R	U+0077 U+0072 U+007E	wr~una;wr~;wr~s;wr~Lkr;wr~Lkun	u r
wd~	2	Y T	U+0077 U+0064 U+007E	wd~awagw~;owd~isiz	u d
wj~	2	Y T	U+0077 U+006A U+007E	wj~o*l;wj~onl~	u dʒ
uw~	1	Y W	U+0075 U+0077 U+007E	y3uw~	u w
iw*a	1	I W E	U+0069 U+0077 U+002A U+0061	suN iw*aN	i w ɐ̃
i*w*a*	1	I W E	U+0069 U+002A U+0077 U+002A U+0061 U+002A	ni87~i*w*a*	ĩ w ɐ̃
kwx~	1	K Y G	U+006B U+0077 U+0078 U+007E	ndy$okwx~io*7	k u x
Cih~	6	T I H	U+0043 U+0069 U+0068 U+007E	Cih~a Na;a Cih~u;Cih~i p3;Cih~iN pa;Cih~u	tʃ i h
ow7~	1	U W H	U+006F U+0077 U+0037 U+007E	laow7~	o w ʔ
wh~aN	1	W E N	U+0077 U+0068 U+007E U+0061 U+004E	wh~aN	w ɐ ŋ
wh~at	1	W E T	U+0077 U+0068 U+007E U+0061 U+0074	wh~at	w ɐ t
SZ~cz~	1	S S C S	U+0053 U+005A U+007E U+0063 U+007A U+007E	SZ~cz~	ʃ ʒ ts z
sz~cz~	2	S S C S	U+0073 U+007A U+007E U+0063 U+007A U+007E	sz~cz~;sz~cz~	s z ts z
own~e*i*	1	U W N E I	U+006F U+0077 U+006E U+007E U+0065 U+002A U+0069 U+002A	bidE own~e*i*	o w n ẽ ĩ
"n3t""8~37"	1	N E T D E H	U+006E U+0033 U+0074 U+0022 U+0038 U+007E U+0033 U+0037	"n3t""8~37"	n ə tʼ θ ə ʔ
to7oSyh~3y	1	T U H U S E J	U+0074 U+006F U+0037 U+006F U+0053 U+0079 U+0068 U+007E U+0033 U+0079	to7oSyh~3y	t o ʔ o ʃʰ ə j
